model_name,rmse,mae,r2,explained_variance,mape,nrmse,training_time
Random Forest,540580.6512388824,439065.02596315753,0.8716021851425511,0.87166767177701,6.657875247094165,0.096878252910194,0.10777544975280762
Linear Regression,775259.744788723,593036.0175061739,0.7359226785509804,0.8180377548614105,8.68377901108074,0.13893543813417977,0.16415095329284668
Neural Network,992123.3156908824,758030.0241334205,0.5675180858653719,0.5965991698539841,10.893378188999758,0.17779987736395744,7.0997841358184814
