Model,Accuracy,Precision,Recall,F1,AUC,AP
LogisticRegression,0.7817258883248731,0.8771929824561403,0.7751937984496124,0.823045267489712,0.8608926128590971,0.9337788163776789
RandomForest,0.7817258883248731,0.8873873873873874,0.7635658914728682,0.8208333333333333,0.8788189694482444,0.9393045362040461
XGBoost,0.7563451776649747,0.8552631578947368,0.7558139534883721,0.8024691358024691,0.8676470588235295,0.9341598615984197
NaiveBayes,0.6903553299492385,1.0,0.5271317829457365,0.6903553299492385,0.8582136342909257,0.9326755011565067
